wine_ID,quality
5316,5.901908958228279
5210,5.288636549394522
3518,5.558470275447353
1622,4.918139920015793
2443,5.000348161025894
3521,6.336279561183985
5211,4.867601825005257
4936,4.43272336330535
1161,5.973144444381806
5993,5.314138719523511
1035,6.40167489258674
3788,5.319714062353427
3130,6.6316627039937
864,6.279091315427228
4797,6.908685128406526
2572,5.631988250184211
3397,5.524848873393942
311,6.1526065802928365
6404,5.140357604414071
882,6.020367934326277
5334,5.2238864427922485
5045,4.978153152332169
502,4.825754952216583
1817,4.764117379651863
4434,5.789197989869093
3816,5.422328468285705
4315,6.9827061095127245
4442,5.011930549949739
170,6.077215402141515
1748,5.935290561216624
3071,6.644823404521088
4275,5.992796926439465
4786,7.598038668040514
6263,5.580187792324452
2768,5.924425825629509
5697,5.939858571886488
1831,6.256289038983867
5452,5.018681816725458
6095,5.933287623948106
5579,5.7823730290748685
3029,6.182951806544248
3694,4.946241705197799
641,5.538625175674195
5424,5.6970701663381735
6380,5.272363292226217
1829,6.913528040269146
3476,7.054174543260527
48,5.231537090139325
3885,6.049441633219849
2799,6.65168469822804
1139,6.054538853709542
4323,5.748098799159724
5449,6.283916803516453
3728,6.7467033432011325
3054,6.2710210990542326
2657,6.813005573008617
3241,6.301502744074552
6022,5.905106647592385
3164,5.914637981244291
1990,4.514577343764265
444,5.379033895239653
6401,5.972595800132772
3141,5.805457755102232
4068,6.007588275247836
5838,6.664164204064516
982,6.2470013765093855
831,6.096533131125105
202,5.846690838128439
4982,6.065406444986256
2830,5.53893442231931
1414,6.447824440812677
2806,5.2446858759317285
1806,5.011114263561445
3537,5.6735258017977515
910,5.1557977919205245
2401,5.553801887585099
2066,5.592613356633389
6433,5.439504869452853
5126,5.829341923931134
4681,5.851271674069444
4459,5.897818830684028
4418,6.0017535812441585
1362,6.205885824333108
2590,6.3690717044410485
768,6.964692409390159
2308,5.031686338638411
2551,5.989429440618286
6247,5.740006088892824
4817,6.5376669300366785
1696,5.001372425482926
861,6.127704383876278
4214,5.019123322178929
4948,5.270456429837916
6046,6.465633524658404
4184,7.197224140732177
1014,5.570294633236483
2033,5.650936159768229
2902,5.025587294866036
3493,6.995768964582591
1008,6.212843157134928
495,6.36304352613128
5615,5.40539121718541
3179,5.61616419754195
2115,4.995424033547026
5097,5.288594052660476
3617,5.753741783143737
737,5.099964153007853
6040,5.826529860877336
3605,5.07291415158038
1531,6.119701002651932
6450,5.561329980923292
3688,6.618121693008943
771,6.541889594812962
2303,5.16229887892484
2531,4.0281372972357765
5658,5.214639623287322
3964,5.142690819631591
1034,4.920395058039773
5048,5.419165215120377
2619,5.45188605778797
98,4.754817225663796
4492,6.317388729611992
4972,5.635927905068218
2339,5.958078620232032
1364,4.99971217205779
3365,6.576820222251311
2234,5.358927976712442
2149,6.496682232061994
4337,7.998931311245151
5056,5.036121001718091
2270,7.007141201099332
2132,5.5299159509038205
661,7.00462122587831
3482,6.655093969958019
1237,6.2421021971061315
4901,5.409875764310066
4995,5.49155057386868
6203,5.095979423385316
5740,5.815375548253143
1785,6.044761948348869
2178,5.060293227745086
4033,6.017733779885356
4046,6.986475068661486
143,5.5789187711133446
5928,5.6667818011683835
5769,5.432257955648501
6106,6.9666950913380985
6006,4.877111450218351
3414,6.287054677708506
6316,5.069766542127475
1644,6.026239193286491
499,5.062880598218345
729,5.081512541718386
5428,6.018692183649995
1828,5.844430933143175
3768,5.919502995394816
263,5.732456405108615
6144,5.125075078625781
3671,6.729704808895299
1570,5.575326238448259
4374,5.277090258629634
4954,5.8415517937907575
3629,5.165833285319623
4456,5.012910648845624
5691,4.96172668193744
4688,6.004973023852797
3849,5.6861494312756715
5077,5.073595308279275
3225,7.012235610498414
2070,4.600077039123662
2529,4.95723448930898
880,6.004450247026916
5592,5.038372441989882
4385,4.967208420771118
5921,6.221901490704565
6196,5.909540230158176
1467,6.851664583717683
2650,5.361542066976638
533,5.908420521081383
4587,6.322503400605981
1189,5.100944875988405
5070,5.58050494720889
3582,5.856909434612225
4988,5.163406511693972
3118,6.674765869979863
1524,5.280688033288313
528,6.156367584904148
6184,6.329646392024994
42,5.231537090139325
3932,6.375380916621778
4697,6.918769288701867
4202,6.9710811157788015
3411,5.904735862778071
2141,4.971291139780783
1380,7.240658009844987
558,5.4133135603734575
5644,4.844042231780154
2623,7.0219414033992384
4189,5.422245095556827
1290,5.14754385633443
4549,5.03625258400495
6057,5.902579161952111
2235,5.941162143471178
4059,6.011628513857336
2756,5.212776613890778
6114,5.322900106421876
2193,6.354061413392854
1906,5.311230726503346
3955,6.029232161627974
3986,6.501240367109409
2323,6.373025224958901
5104,6.9805513539494655
148,6.445394437339004
572,5.381005712356985
14,5.356825080966278
124,6.059885627688
593,5.041111909504937
