y_test,y_preds
6,5.672639846801758
6,5.068915367126465
5,5.2729692459106445
6,5.422252178192139
6,5.742617607116699
5,4.827365875244141
6,5.322994232177734
3,5.960394859313965
7,5.677971839904785
6,6.368841648101807
5,5.495323181152344
6,5.835572242736816
5,5.150843620300293
6,5.98432731628418
6,5.831668376922607
6,5.252266883850098
8,6.672608375549316
3,5.049269676208496
6,5.48393440246582
6,6.271039962768555
5,5.677178859710693
5,6.575441360473633
5,5.451442718505859
6,5.812190055847168
7,7.227153778076172
5,5.509893417358398
5,5.034642696380615
7,5.8112473487854
6,5.0901570320129395
5,4.842616081237793
6,6.146025657653809
6,5.674644470214844
6,5.120710372924805
6,5.573146820068359
6,6.1903076171875
4,5.681976795196533
4,4.878511428833008
7,5.886987686157227
6,6.369904518127441
8,6.073126792907715
5,6.013914108276367
5,5.922405242919922
6,6.740423202514648
5,5.767246246337891
6,4.875995635986328
6,6.124462127685547
6,6.145047664642334
6,5.298971652984619
7,6.338312149047852
5,5.346449375152588
6,5.241154193878174
6,6.00717830657959
6,5.460874557495117
6,5.797116756439209
5,5.6560235023498535
5,5.887580871582031
5,6.367893695831299
5,5.415376663208008
5,5.112221717834473
4,4.8902997970581055
5,5.4296722412109375
7,6.553548812866211
6,5.245428085327148
5,5.523378849029541
6,5.760320663452148
6,5.298452377319336
5,5.2840704917907715
7,6.097516059875488
5,5.638402462005615
6,5.812898635864258
5,5.792828559875488
8,6.486937999725342
7,6.3992414474487305
6,5.9726643562316895
6,5.69741678237915
6,5.241154193878174
5,6.416098594665527
7,6.374156475067139
6,5.709593772888184
5,5.624517440795898
6,6.627364635467529
8,7.148868083953857
6,5.811315536499023
6,5.825925827026367
5,4.920769214630127
9,7.285554885864258
6,6.415820121765137
6,6.0144243240356445
5,5.721406936645508
5,5.540886878967285
6,6.648936748504639
5,5.899391174316406
6,6.307366371154785
5,4.968313217163086
7,6.634775638580322
6,5.327320575714111
6,5.873590469360352
6,6.120339393615723
5,5.712838172912598
5,5.798272132873535
5,4.941856861114502
5,5.483939170837402
7,6.300703048706055
7,6.904816627502441
7,5.7602009773254395
5,5.159375190734863
5,4.887040615081787
5,5.397794246673584
5,5.808089256286621
6,5.8050336837768555
5,5.738310813903809
5,5.602118015289307
6,5.344336032867432
6,4.984336853027344
6,5.478313446044922
5,4.9103851318359375
6,6.908020496368408
6,4.88460636138916
6,5.2304606437683105
6,5.54242467880249
4,6.05674934387207
5,4.896580219268799
7,5.347484111785889
5,5.802535533905029
5,5.077539443969727
6,6.404592514038086
5,5.718142509460449
6,6.031842231750488
6,5.2479634284973145
6,6.319662570953369
7,6.1703925132751465
7,6.009162902832031
6,5.794041156768799
5,5.7259602546691895
5,5.730876922607422
6,5.897107124328613
7,6.904918193817139
5,5.141214847564697
7,6.1980390548706055
6,5.689542770385742
6,5.815425872802734
6,5.278371810913086
5,5.586565017700195
5,4.99845027923584
7,5.76131534576416
5,5.7699055671691895
7,5.910506248474121
5,5.6056437492370605
6,6.263212203979492
5,5.340609550476074
6,6.128286361694336
6,5.9414472579956055
6,6.580430030822754
4,5.309999942779541
4,4.558287620544434
6,5.557249069213867
6,6.129360198974609
5,5.5470075607299805
5,6.258754730224609
6,5.710846900939941
6,6.6408185958862305
7,6.503314018249512
7,6.3453264236450195
6,5.612504005432129
6,5.604068279266357
5,5.1449995040893555
7,6.8161749839782715
7,6.233431816101074
6,5.459814071655273
6,6.049660682678223
5,5.077539443969727
5,5.750490665435791
6,5.6598920822143555
5,5.469274997711182
6,5.848064422607422
7,6.121455669403076
5,5.766925811767578
6,5.460156440734863
6,6.659346580505371
6,6.650702476501465
6,5.95478630065918
6,5.978681564331055
5,5.871270179748535
6,6.103007793426514
5,5.8754072189331055
6,5.110874176025391
5,5.537853240966797
5,5.5642290115356445
6,5.884662628173828
5,6.041627883911133
