y_test,y_preds
6,5.509790420532227
6,5.309221267700195
5,5.192248821258545
6,5.1113996505737305
6,5.615499973297119
5,5.011828899383545
6,5.211925506591797
3,5.6014404296875
7,5.82457971572876
6,5.485692977905273
5,5.117109775543213
6,5.910306453704834
5,5.050727367401123
6,5.686259746551514
6,5.898397445678711
6,5.190001487731934
8,6.5323591232299805
3,4.9404988288879395
6,5.401305675506592
6,6.018581867218018
5,5.356790542602539
5,6.512411594390869
5,5.2814741134643555
6,5.876821517944336
7,6.757431983947754
5,5.005595684051514
5,4.996730327606201
7,5.8638834953308105
6,5.144129753112793
5,5.059690475463867
6,5.960450172424316
6,5.830784797668457
6,5.189009666442871
6,5.65954065322876
6,6.132511138916016
4,5.557449817657471
4,4.6571807861328125
7,6.032853603363037
6,6.032851219177246
8,5.702508449554443
5,5.373262882232666
5,5.166223049163818
6,6.329124927520752
5,5.552114486694336
6,5.10021448135376
6,5.309749126434326
6,6.035941123962402
6,5.186717510223389
7,5.955221652984619
5,5.085678577423096
6,5.237654209136963
6,5.802774429321289
6,5.606299877166748
6,6.024739742279053
5,5.646613597869873
5,6.047662734985352
5,6.344890594482422
5,5.672652244567871
5,5.105046272277832
4,4.874072551727295
5,5.56699800491333
7,6.174110412597656
6,5.264091491699219
5,5.168904781341553
6,5.3438215255737305
6,5.391601085662842
5,5.303210258483887
7,6.138652324676514
5,5.59793758392334
6,5.7652130126953125
5,5.466249942779541
8,6.756848335266113
7,6.519782543182373
6,5.943143844604492
6,5.842379093170166
6,5.237654209136963
5,6.050468444824219
7,6.392907619476318
6,5.357219696044922
5,5.304154872894287
6,6.571061611175537
8,6.506270885467529
6,5.9518818855285645
6,5.742249011993408
5,5.055601596832275
9,6.543426513671875
6,6.086419105529785
6,6.195563793182373
5,5.484725475311279
5,5.28704309463501
6,6.001534938812256
5,5.715642929077148
6,6.6153974533081055
5,4.829493999481201
7,5.5125298500061035
6,5.152324676513672
6,6.043013095855713
6,6.216745853424072
5,5.247344493865967
5,5.827319622039795
5,4.9043169021606445
5,5.63611364364624
7,6.0194196701049805
7,6.608829021453857
7,5.28908109664917
5,5.36794900894165
5,4.919976234436035
5,5.655287265777588
5,5.967739105224609
6,5.603211879730225
5,5.3392839431762695
5,5.313047885894775
6,5.394435405731201
6,4.898425579071045
6,5.478476524353027
5,4.834238529205322
6,6.800021171569824
6,5.227957248687744
6,5.206915378570557
